Sno.,Acronym,Name,Current Price,Price Change Per Day,Price Change Per Week,Percentage Change Per Day,Percentage Change Per Week
1,F03,P B Films,0.68,0.0000,0,0.0000,0
2,I07,India Steel,0.38,-0.0100,-0.02,-2.5641,-5.0000
3,AFE01,A F Ent,7.01,0.0000,-0.28,0.0000,-3.84
4,AKS,A K S Credits,10.00,0.0000,Nan,0.0000,Nan
5,AKS01,A K Spintex,24.80,-0.0500,-0.1,-0.2012,-0.4
6,APT01,A P T Yarns,0.00,0.0000,Nan,Nan,Nan
7,AA14,Amsons Apparels,0.73,0.0000,0,0.0000,0
8,AKC01,A.K.Capital Ser,277.00,7.0500,14.2,2.6116,5.4
9,AME02,A2Z Infra Eng,4.05,-0.0300,-0.1,-0.7353,-2.41
10,ATL,Prime Urban Dev,8.00,0.0000,0,0.0000,0
11,AA,Aachal Alloys,1.00,-0.9500,Nan,-48.7179,Nan
12,PI37,Panafic Ind,0.20,0.0000,0.01,0.0000,5.2600
13,PC18,Aagam Capital,46.50,0.0000,0,0.0000,0
14,AEM,Aakar Engg & Mf,0.90,-0.1500,Nan,-14.2857,Nan
15,AT01,Aamcol Tools,40.55,0.0000,0,0.0000,0
16,ALS,Aananda Lakshmi,1.91,0.0000,0,0.0000,0
17,AI36,Shirpur Gold,7.56,-0.0400,0.05,-0.5263,0.67
18,AGL,Aankit Granites,0.00,0.0000,Nan,Nan,Nan
19,AAR,AAR COMMERCIAL ,6.02,0.0000,0,0.0000,0
20,ADP,Aarey Drugs,29.70,-1.0000,3.1,-3.2573,11.65
21,KS18,Ennore Coke,2.05,0.0000,0,0.0000,0
22,AS27,Advance Syntex ,10.26,-0.5400,0.78,-5.0000,8.23
23,AD,Aarti Drugs,810.10,38.5500,72,4.9964,9.75
24,AI45,Ceinsys Tech,114.70,4.7000,9.45,4.2727,8.98
25,ASL08,Akshar Spintex,13.58,0.2600,1.02,1.9520,8.12
26,N05,AARV Infratel,2.25,0.0000,0,0.0000,0
27,ADE,Aarvee Denim,11.20,0.5200,-0.03,4.8689,-0.27
28,KIF02,KIFS Financial,43.75,0.0000,-0.10,0.0000,-0.2300
29,AS12,Aasheesh Sec,0.73,-0.0300,Nan,-3.9474,Nan
30,ATE02,Aaswa Trading,15.43,0.7300,Nan,4.9660,Nan
31,AF17,Black Rose Ind,125.25,0.2500,-0.5,0.2000,-0.4
32,AFH01,Aayush Food ,32.95,-0.6500,-1.9,-1.9345,-5.45
33,ABC05,AB Corp,NT*,0.0000,Nan,0.0000,Nan
34,ABF01,AB F&R-PP,76.15,1.7000,6.45,2.2834,9.25
35,ABF,AB Fashion RE,9.60,0.0000,-2.9,0.0000,-23.2
36,AC,Abacus Computer,4.40,0.3000,Nan,7.3171,Nan
37,MST03,ABans Enterpris,178.00,8.2500,21.60,4.8601,13.8100
38,ABB,ABB India,862.55,3.1000,10.2,0.3607,1.2
39,APP03,ABB Power Produ,988.15,62.8500,50.05,6.7924,5.34
40,AI51,Aanchal Ispat,4.44,-0.1600,-0.11,-3.4783,-2.42
41,ABC02,ABC Bearings,437.65,0.0000,0,0.0000,0
42,BE05,ABC Gas,6.98,0.0000,0.01,0.0000,0.14
43,ABC,ABC India,51.90,0.5500,3,1.0711,6.13
44,AP17,Abco Plastic,1.05,-0.0500,Nan,-4.5455,Nan
45,APR01,Abee Printer,4.28,0.2000,Nan,4.9020,Nan
46,ABG01,ABG Shipyard,1.12,0.0000,0,0.0000,0
47,ATC01,Abhijit Trading,10.00,0.0000,0,0.0000,0
48,ACS04,Adharshila Cap,12.50,0.0000,0,0.0000,0
49,ALF03,Abhinav Leasing,0.73,0.0000,0,0.0000,0
50,AF32,AAVAS Financier,1415.60,-20.5000,41.25,-1.4275,3
51,AFS,Abirami Finance,2.78,-0.1400,-0.62,-4.7945,-18.24
52,ABL,ABL Biotech,0.81,0.0000,0,0.0000,0
53,ABN,ABN Granites,0.00,0.0000,Nan,Nan,Nan
54,AP01,Abner Pharma,1.42,-0.0400,Nan,-2.7397,Nan
55,ACC06,Ashika Credit,21.30,0.3000,-0.05,1.4286,-0.23
56,AT17,Acropetal Tech,1.67,0.0000,0,0.0000,0
57,KAL,Accelya Kale,1035.00,0.5000,4.85,0.0483,0.4700
58,AT19,Alphalogic Tech,91.80,0.0000,0.3,0.0000,0.33
59,AS22,Avantel,388.60,-13.0500,-20.55,-3.2491,-5.02
60,AS26,Amarnath Sec,17.10,0.0000,0,0.0000,0
61,AE12,Accurate Exp,0.10,0.0000,Nan,0.0000,Nan
62,ATL03,Accurate Transf,24.35,0.0000,0,0.0000,0
63,AIF,ACE Edutrend,1.60,0.0000,0,0.0000,0
64,AIS,Asahi India,209.25,0.4500,4.65,0.2155,2.27
